S&P/ASX 200 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GWA,GWA Group Limited,Industrials,"863,109,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"4,622,680,000",0.25,,,
HLS,Healius,Health Care,"1,893,140,000",0.1,,,
HUB,HUB24 Limited,Financials,"631,604,000",0.03,,,
IEL,Idp Education Limited,Consumer Discretionary,"5,406,960,000",0.29,,,
IGO,IGO Limited,Materials,"3,113,500,000",0.17,,,
ILU,Iluka Resources,Materials,"3,524,360,000",0.19,,,
IPL,Incitec Pivot,Materials,"4,404,700,000",0.24,,,
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,"1,351,510,000",0.07,,,
ING,Inghams Group,Consumer Staples,"1,286,010,000",0.07,,,
IAG,Insurance Australia,Financials,"14,744,500,000",0.79,,,
IVC,Invocare Limited,Consumer Discretionary,"1,699,180,000",0.09,,,
IFL,IOOF Holdings Limited,Financials,"1,990,600,000",0.11,,,
IPH,IPH Limited,Industrials,"1,801,840,000",0.1,,,
IRE,Iress Limited,Information Technology,"2,074,590,000",0.11,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"12,505,900,000",0.67,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,283,590,000",0.07,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"4,226,560,000",0.23,,,
JIN,Jumbo Interactive,Consumer Discretionary,"689,783,000",0.04,,,
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,"9,951,750,000",0.53,,,
A2M,The a2 Milk Company,Consumer Staples,"11,347,300,000",0.61,,,
LNK,Link Admin HLDG,Information Technology,"2,494,890,000",0.13,,,
LYC,Lynas Corporation,Materials,"1,286,660,000",0.07,,,
MFG,Magellan Fin Group Limited,Financials,"10,163,900,000",0.54,,,
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,"11,959,200,000",0.64,,,
MIN,Mineral Resources,Materials,"3,117,710,000",0.17,,,
MMS,Mcmillan Shakespeare,Industrials,"838,037,000",0.04,,,
MND,Monadelphous Group,Industrials,"1,361,180,000",0.07,,,
MPL,Medibank Private Limited,Financials,"7,793,830,000",0.42,,,
MQG,Macquarie Group Limited,Financials,"47,781,200,000",2.55,,,
MTS,Metcash Limited,Consumer Staples,"2,245,860,000",0.12,,,
MYX,Mayne Pharma Limited,Health Care,"545,697,000",0.03,,,
NAB,National Aust. Bank,Financials,"73,978,700,000",3.95,,,
NAN,Nanosonics Limited,Health Care,"2,013,190,000",0.11,,,
NCM,Newcrest Mining,Materials,"20,220,600,000",1.08,,,
NEA,Nearmap Limited,Information Technology,"744,293,000",0.04,,,
NEC,Nine Entertainment,,"2,703,050,000",0.14,,,
NHC,New Hope Corporation,Energy,"1,201,820,000",0.06,,,
NHF,Nib Holdings Limited,Financials,"2,111,670,000",0.11,,,
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,"1,757,370,000",0.09,,,
NST,Northern Star,Materials,"9,961,060,000",0.53,,,
NUF,Nufarm Limited,Materials,"1,940,240,000",0.1,,,
NWH,NRW Holdings Limited,Industrials,"1,024,040,000",0.05,,,
NWL,Netwealth Group,Financials,"1,806,480,000",0.1,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,,"981,439,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,718,350,000",0.15,,,
OML,Ooh!Media Limited,,"678,681,000",0.04,,,
ORA,Orora Limited,Materials,"3,294,250,000",0.18,,,
ORE,Orocobre Limited,Materials,"707,159,000",0.04,,,
ORG,Origin Energy,Energy,"12,293,300,000",0.66,,,
ORI,Orica Limited,Materials,"8,010,080,000",0.43,,,
OSH,Oil Search Limited 10 Toea,Energy,"8,370,860,000",0.45,,,
OZL,OZ Minerals,Materials,"2,917,690,000",0.16,,,
PDL,Pendal Group Limited,Financials,"2,388,740,000",0.13,,,
