S&P/ASX 50 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AGL,AGL Energy Limited,Utilities,"12,230,500,000",0.87,,"1,397,970,610,000",
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"14,946,100,000",1.07,,,
AMP,AMP Limited,Financials,"5,756,300,000",0.41,,Sector Breakdown,
ANZ,ANZ Banking Group Limited,Financials,"70,422,300,000",5.04,,Consumer Discretionary,4.81
APA,APA Group FP Units Stapled Securities,Utilities,"12,672,100,000",0.91,,Consumer Staples,5.42
ALL,Aristocrat Leisure,Consumer Discretionary,"21,142,200,000",1.51,,Energy,4.96
ASX,ASX Limited,Financials,"14,353,100,000",1.03,,Financials,35.55
AZJ,Aurizon Holdings Limited,Industrials,"9,432,820,000",0.67,,Health Care,12.87
BHP,BHP Group Limited,Materials,"98,980,600,000",7.08,,Industrials,6.75
BXB,Brambles Limited,Industrials,"18,472,000,000",1.32,,Information Technology,0.59
CTX,Caltex Australia,Energy,"8,165,420,000",0.58,,Materials,16.38
COH,Cochlear Limited,Health Care,"12,004,900,000",0.86,,Real Estate,7.97
COL,Coles Group,Consumer Staples,"18,955,100,000",1.36,,Telecommunication Services,2.92
CBA,Commonwealth Bank,Financials,"144,770,000,000",10.36,,Utilities,1.78
CPU,Computershare Limited,Information Technology,"8,286,280,000",0.59,,,
CSL,CSL Limited,Health Care,"140,449,000,000",10.05,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"13,332,200,000",0.95,,,
FMG,Fortescue Metals Group,Materials,"31,036,000,000",2.22,,,
GMG,Goodman Group,Real Estate,"27,389,600,000",1.96,,,
GPT,GPT Group,Real Estate,"11,259,000,000",0.81,,,
IAG,Insurance Australia,Financials,"14,744,500,000",1.05,,,
JHX,James Hardie Indust,Materials,"12,505,900,000",0.89,,,
LLC,Lendlease Group,Real Estate,"9,951,750,000",0.71,,,
MQG,Macquarie Group Limited,Financials,"47,781,200,000",3.42,,,
MPL,Medibank Private Limited,Financials,"7,793,830,000",0.56,,,
MGR,Mirvac Group,Real Estate,"11,959,200,000",0.86,,,
NAB,National Aust. Bank,Financials,"73,978,700,000",5.29,,,
NCM,Newcrest Mining,Materials,"20,220,600,000",1.45,,,
OSH,Oil Search Limited 10 Toea,Energy,"8,370,860,000",0.6,,,
ORI,Orica Limited,Materials,"8,010,080,000",0.57,,,
ORG,Origin Energy,Energy,"12,293,300,000",0.88,,,
QAN,Qantas Airways,Industrials,"8,244,090,000",0.59,,,
QBE,QBE Insurance Group,Financials,"17,740,400,000",1.27,,,
RHC,Ramsay Health Care,Health Care,"13,743,500,000",0.98,,,
RIO,RIO Tinto Limited,Materials,"32,396,000,000",2.32,,,
STO,Santos Limited,Energy,"14,227,300,000",1.02,,,
SCG,Scentre Group,Real Estate,"18,126,100,000",1.3,,,
SHL,Sonic Healthcare,Health Care,"13,681,600,000",0.98,,,
S32,SOUTH32 Limited,Materials,"10,877,400,000",0.78,,,
SGP,Stockland,Real Estate,"11,230,300,000",0.8,,,
SUN,Suncorp Group Limited,Financials,"14,299,200,000",1.02,,,
SYD,SYD Airport,Industrials,"17,558,900,000",1.26,,,
TLS,Telstra Corporation,Telecommunication Services,"40,794,000,000",2.92,,,
TCL,Transurban Group,Industrials,"40,615,000,000",2.91,,,
TWE,Treasury Wine Estate,Consumer Staples,"7,941,000,000",0.57,,,
VCX,Vicinity Centres,Real Estate,"8,115,680,000",0.58,,,
WES,Wesfarmers Limited,Consumer Discretionary,"46,090,600,000",3.3,,,
WBC,Westpac Banking Corp,Financials,"85,380,200,000",6.11,,,
WPL,Woodside Petroleum,Energy,"26,308,700,000",1.88,,,
WOW,Woolworths Group Limited,Consumer Staples,"48,935,200,000",3.5,,,
